Date, Perl, Perl6
2015/01, 6269, 154
2015/02, 5716, 119
2015/03, 6426, 201
2015/04, 6066, 228
2015/05, 6540, 422
2015/06, 6710, 351
2015/07, 6163, 251
2015/08, 6948, 699
2015/09, 7184, 629
2015/10, 6576, 880
2015/11, 7053, 602
2015/12, 6459, 747
2016/01, 7837, 655
2016/02, 9274, 266
2016/03, 8205, 332
2016/04, 7335, 347
2016/05, 7992, 286
2016/06, 7588, 372
2016/07, 6610, 252
2016/08, 6634, 268
2016/09, 6256, 299
2016/10, 7385, 947
2016/11, 7256, 660
2016/12, 6423, 703
2017/01, 7186, 486
2017/02, 6742, 401
2017/03, 8140, 356
2017/04, 6341, 1618
2017/05, 7108, 624
2017/06, 7164, 580
2017/07, 6503, 317
2017/08, 7107, 368
2017/09, 6484, 471
2017/10, 7627, 504
2017/11, 5469, 268
